horaire,titre,artiste
2023-05-09 07:01:00,PUSSYWHISTLE TEA,CS + KREME
2023-05-09 07:03:00,GO TO HELL,NINA SIMONE
2023-05-09 07:05:00,WAY DOWN IN THE HOLE,THE BLIND BOYS OF ALABAMA
2023-05-09 07:08:00,LIGHT BLUE,BOB DARIN
2023-05-09 07:12:00,BETTER ENDEAVOR,ADRIAN YOUNGE  ALI SHAHEED MUHAMMAD  ADRIAN YOUNGE  ALI SHAHEED MUHAMMAD  LAETITIA SADIER
2023-05-09 07:15:00,CUP OF TIME,DONNA BLUE
2023-05-09 07:18:00,EN ALABAMA,LEONIE
2023-05-09 07:21:00,CARE OF CELL 44,THE ZOMBIES
2023-05-09 07:24:00,SIROCCO,PIERRE DAVEN-KELLER
2023-05-09 07:27:00,JE T'AIMERAI TOUJOURS,CHARLENE DARLING
2023-05-09 07:30:00,SAUDOSISMO,ERASMO CARLOS
2023-05-09 07:33:00,PASTIME PARADISE,STEVIE WONDER
2023-05-09 07:36:00,L'ILE NUE  / L'ILE NUE : THEME PRINCIPAL,BO/L ILE NUE
2023-05-09 07:39:00,LEAD ME BLIND,LAEL NEALE
2023-05-09 07:44:00,THE FIRST CUT IS THE DEEPEST,NORMA FRASER
2023-05-09 07:47:00,THE GUNS OF BRIXTON,THE CLASH
2023-05-09 07:50:00,MINOTAUR,TREES SPEAK
2023-05-09 07:53:00,LE DIRECT,LA RADIO LA PLUS ECLECTIQUE DU MONDE
2023-05-09 07:53:00,SOME VELVET MORNING,NANCY SINATRA AND LEE HAZLEWOOD
2023-05-09 07:57:00,NO ROOM,MADISON MCFERRIN
2023-05-09 08:01:00,COMO E QUE VAI VOCE ,SOYUZ  SESSA
2023-05-09 08:04:00,NOSTALGIA,PIERO UMILIANI
2023-05-09 08:08:00,PRAIA VERMELHA,THE RODEO
2023-05-09 08:11:00,MY LOVE AND I,BARBARA  ERNIE
2023-05-09 08:14:00,AGONY,OAN KIM  THE DIRTY JAZZ
2023-05-09 08:16:00,NIGHT SCENE,CHUCK HIGGINS
2023-05-09 08:19:00,LITTLE DROP OF POISON,TOM WAITS
2023-05-09 08:22:00,POU MIZIK LA,ZEPISS
2023-05-09 08:25:00,LIVING IN THE PAST,JETHRO TULL
2023-05-09 08:25:00,LE DIRECT,LA RADIO LA PLUS ECLECTIQUE DU MONDE
2023-05-09 08:28:00,FORGOT ABOUT DRE,SLY5THAVE
2023-05-09 08:31:00,COOL COLORADO,LA FEMME
2023-05-09 08:34:00,HIGH,MUVA OF EARTH
2023-05-09 08:37:00,THE ONLY ONE,MORPHINE  MARC SANDMAN  DANA COLLEY  JEROME DEUPREE
2023-05-09 08:39:00,SHIMMERS - POUR PIANO,SHANI DILUKA
2023-05-09 08:42:00,BIG SUR,THE BEACH BOYS  MIKE LOVE
